# beta is the volume thermal expansion 
#   T (K)         V(T) (a.u.)^3          F (T) (Ry)       beta (10^(-6) K^(-1))
 0.68200E+03    0.2680550624081E+03   -0.1586383974872E+02    0.80322799E+01
 0.68500E+03    0.2680615281577E+03   -0.1586401677992E+02    0.80481243E+01
 0.68800E+03    0.2680680067631E+03   -0.1586419428850E+02    0.80638647E+01
 0.69100E+03    0.2680744981426E+03   -0.1586437227258E+02    0.80795029E+01
 0.69400E+03    0.2680810022152E+03   -0.1586455073029E+02    0.80950405E+01
 0.69700E+03    0.2680875189020E+03   -0.1586472965978E+02    0.81104792E+01
 0.70000E+03    0.2680940481247E+03   -0.1586490905921E+02    0.81258207E+01
 0.70300E+03    0.2681005898070E+03   -0.1586508892674E+02    0.81410666E+01
 0.70600E+03    0.2681071438733E+03   -0.1586526926056E+02    0.81562185E+01
 0.70900E+03    0.2681137102497E+03   -0.1586545005886E+02    0.81712779E+01
 0.71200E+03    0.2681202888631E+03   -0.1586563131987E+02    0.81862463E+01
 0.71500E+03    0.2681268796421E+03   -0.1586581304180E+02    0.82011253E+01
 0.71800E+03    0.2681334825159E+03   -0.1586599522289E+02    0.82159162E+01
 0.72100E+03    0.2681400974154E+03   -0.1586617786140E+02    0.82306206E+01
 0.72400E+03    0.2681467242724E+03   -0.1586636095557E+02    0.82452399E+01
 0.72700E+03    0.2681533630198E+03   -0.1586654450370E+02    0.82597753E+01
 0.73000E+03    0.2681600135916E+03   -0.1586672850407E+02    0.82742284E+01
 0.73300E+03    0.2681666759230E+03   -0.1586691295497E+02    0.82886004E+01
 0.73600E+03    0.2681733499501E+03   -0.1586709785472E+02    0.83028926E+01
 0.73900E+03    0.2681800356102E+03   -0.1586728320165E+02    0.83171064E+01
 0.74200E+03    0.2681867328414E+03   -0.1586746899409E+02    0.83312428E+01
 0.74500E+03    0.2681934415829E+03   -0.1586765523038E+02    0.83453033E+01
 0.74800E+03    0.2682001617751E+03   -0.1586784190889E+02    0.83592890E+01
 0.75100E+03    0.2682068933590E+03   -0.1586802902800E+02    0.83732012E+01
 0.75400E+03    0.2682136362768E+03   -0.1586821658607E+02    0.83870409E+01
 0.75700E+03    0.2682203904714E+03   -0.1586840458151E+02    0.84008093E+01
 0.76000E+03    0.2682271558869E+03   -0.1586859301272E+02    0.84145076E+01
 0.76300E+03    0.2682339324681E+03   -0.1586878187812E+02    0.84281369E+01
 0.76600E+03    0.2682407201607E+03   -0.1586897117613E+02    0.84416982E+01
 0.76900E+03    0.2682475189114E+03   -0.1586916090520E+02    0.84551927E+01
 0.77200E+03    0.2682543286675E+03   -0.1586935106376E+02    0.84686213E+01
 0.77500E+03    0.2682611493773E+03   -0.1586954165029E+02    0.84819851E+01
 0.77800E+03    0.2682679809899E+03   -0.1586973266325E+02    0.84952851E+01
 0.78100E+03    0.2682748234552E+03   -0.1586992410113E+02    0.85085223E+01
 0.78400E+03    0.2682816767238E+03   -0.1587011596241E+02    0.85216977E+01
 0.78700E+03    0.2682885407473E+03   -0.1587030824559E+02    0.85348123E+01
 0.79000E+03    0.2682954154778E+03   -0.1587050094919E+02    0.85478669E+01
 0.79300E+03    0.2683023008683E+03   -0.1587069407173E+02    0.85608625E+01
 0.79600E+03    0.2683091968725E+03   -0.1587088761174E+02    0.85738001E+01
