# beta is the volume thermal expansion 
#   T (K)     V(T) (a.u.)^3   B (T) (kbar)  d B (T) / dP  beta (10^(-6) K^(-1))
 0.31900E+03 0.2688467491560E+03  0.938495E+03  0.216732E+01    0.79757600E+01
 0.32200E+03 0.2688532092626E+03  0.938193E+03  0.217608E+01    0.80427259E+01
 0.32500E+03 0.2688597230319E+03  0.937891E+03  0.218487E+01    0.81084581E+01
 0.32800E+03 0.2688662894894E+03  0.937588E+03  0.219367E+01    0.81729915E+01
 0.33100E+03 0.2688729076833E+03  0.937285E+03  0.220249E+01    0.82363575E+01
 0.33400E+03 0.2688795766897E+03  0.936981E+03  0.221133E+01    0.82985817E+01
 0.33700E+03 0.2688862955981E+03  0.936676E+03  0.222018E+01    0.83596872E+01
 0.34000E+03 0.2688930635217E+03  0.936371E+03  0.222905E+01    0.84197090E+01
 0.34300E+03 0.2688998796062E+03  0.936066E+03  0.223794E+01    0.84786719E+01
 0.34600E+03 0.2689067430048E+03  0.935760E+03  0.224685E+01    0.85365997E+01
 0.34900E+03 0.2689136529016E+03  0.935453E+03  0.225577E+01    0.85935200E+01
 0.35200E+03 0.2689206084938E+03  0.935146E+03  0.226470E+01    0.86494550E+01
 0.35500E+03 0.2689276090018E+03  0.934838E+03  0.227365E+01    0.87044308E+01
 0.35800E+03 0.2689346536643E+03  0.934530E+03  0.228262E+01    0.87584694E+01
 0.36100E+03 0.2689417417374E+03  0.934221E+03  0.229161E+01    0.88115936E+01
 0.36400E+03 0.2689488724963E+03  0.933912E+03  0.230061E+01    0.88638282E+01
 0.36700E+03 0.2689560452371E+03  0.933602E+03  0.230962E+01    0.89151920E+01
 0.37000E+03 0.2689632592651E+03  0.933291E+03  0.231866E+01    0.89657076E+01
 0.37300E+03 0.2689705139127E+03  0.932980E+03  0.232770E+01    0.90153967E+01
 0.37600E+03 0.2689778085203E+03  0.932669E+03  0.233677E+01    0.90642747E+01
 0.37900E+03 0.2689851424451E+03  0.932356E+03  0.234584E+01    0.91123660E+01
 0.38200E+03 0.2689925150668E+03  0.932044E+03  0.235494E+01    0.91596882E+01
 0.38500E+03 0.2689999257705E+03  0.931731E+03  0.236405E+01    0.92062593E+01
 0.38800E+03 0.2690073739653E+03  0.931417E+03  0.237317E+01    0.92520978E+01
 0.39100E+03 0.2690148590657E+03  0.931102E+03  0.238231E+01    0.92972199E+01
 0.39400E+03 0.2690223805070E+03  0.930787E+03  0.239146E+01    0.93416451E+01
 0.39700E+03 0.2690299377354E+03  0.930472E+03  0.240063E+01    0.93853886E+01
 0.40000E+03 0.2690375302101E+03  0.930156E+03  0.240982E+01    0.94284667E+01
 0.40300E+03 0.2690451574038E+03  0.929839E+03  0.241902E+01    0.94708955E+01
 0.40600E+03 0.2690528188015E+03  0.929522E+03  0.242823E+01    0.95126907E+01
 0.40900E+03 0.2690605139013E+03  0.929204E+03  0.243746E+01    0.95538672E+01
 0.41200E+03 0.2690682422121E+03  0.928886E+03  0.244670E+01    0.95944391E+01
 0.41500E+03 0.2690760032545E+03  0.928567E+03  0.245596E+01    0.96344208E+01
 0.41800E+03 0.2690837965608E+03  0.928248E+03  0.246523E+01    0.96738263E+01
 0.42100E+03 0.2690916216740E+03  0.927928E+03  0.247452E+01    0.97126696E+01
 0.42400E+03 0.2690994781488E+03  0.927607E+03  0.248382E+01    0.97509629E+01
 0.42700E+03 0.2691073655482E+03  0.927286E+03  0.249313E+01    0.97887194E+01
 0.43000E+03 0.2691152834478E+03  0.926964E+03  0.250246E+01    0.98259523E+01
 0.43300E+03 0.2691232314319E+03  0.926642E+03  0.251181E+01    0.98626730E+01
 0.43600E+03 0.2691312090943E+03  0.926319E+03  0.252117E+01    0.98988934E+01
 0.43900E+03 0.2691392160388E+03  0.925996E+03  0.253054E+01    0.99346254E+01
 0.44200E+03 0.2691472518780E+03  0.925672E+03  0.253993E+01    0.99698799E+01
 0.44500E+03 0.2691553162335E+03  0.925347E+03  0.254933E+01    0.10004668E+02
 0.44800E+03 0.2691634087357E+03  0.925022E+03  0.255874E+01    0.10039001E+02
 0.45100E+03 0.2691715290233E+03  0.924696E+03  0.256817E+01    0.10072888E+02
 0.45400E+03 0.2691796767436E+03  0.924370E+03  0.257762E+01    0.10106340E+02
 0.45700E+03 0.2691878515515E+03  0.924043E+03  0.258707E+01    0.10139367E+02
 0.46000E+03 0.2691960531105E+03  0.923715E+03  0.259655E+01    0.10171979E+02
 0.46300E+03 0.2692042810910E+03  0.923387E+03  0.260603E+01    0.10204184E+02
 0.46600E+03 0.2692125351710E+03  0.923059E+03  0.261553E+01    0.10235993E+02
 0.46900E+03 0.2692208150366E+03  0.922729E+03  0.262505E+01    0.10267413E+02
 0.47200E+03 0.2692291203789E+03  0.922399E+03  0.263457E+01    0.10298454E+02
