#  E (eV)   dos(E)     Int dos(E)
   21.883656011  0.12970603E+01  0.27738962E+02
   22.019712942  0.14519709E+01  0.27936512E+02
   22.155769873  0.14598591E+01  0.28135136E+02
   22.291826805  0.13270682E+01  0.28315693E+02
   22.427883736  0.13277877E+01  0.28496348E+02
   22.563940667  0.15690680E+01  0.28709830E+02
   22.699997598  0.17257108E+01  0.28944625E+02
   22.836054530  0.16645336E+01  0.29171097E+02
   22.972111461  0.15952852E+01  0.29388146E+02
   23.108168392  0.14447578E+01  0.29584715E+02
   23.244225323  0.16022743E+01  0.29802716E+02
   23.380282255  0.16761289E+01  0.30030765E+02
   23.516339186  0.16059347E+01  0.30249263E+02
   23.652396117  0.17523986E+01  0.30487689E+02
   23.788453048  0.17371906E+01  0.30724046E+02
   23.924509979  0.17523934E+01  0.30962472E+02
   24.060566911  0.17690133E+01  0.31203158E+02
   24.196623842  0.18733526E+01  0.31458041E+02
   24.332680773  0.19653186E+01  0.31725436E+02
   24.468737704  0.18203197E+01  0.31973103E+02
   24.604794636  0.16363195E+01  0.32195736E+02
   24.740851567  0.18939289E+01  0.32453418E+02
   24.876908498  0.21160522E+01  0.32741321E+02
