# beta is the volume thermal expansion 
#   T (K)         V(T) (a.u.)^3          F (T) (Ry)       beta (10^(-6) K^(-1))
 0.72700E+03    0.1106119267816E+03   -0.4201834166282E+01    0.92099494E+02
 0.73000E+03    0.1106425174387E+03   -0.4201952947896E+01    0.92177159E+02
 0.73300E+03    0.1106731190590E+03   -0.4202072001436E+01    0.92241494E+02
 0.73600E+03    0.1107037693617E+03   -0.4202191332285E+01    0.92398400E+02
 0.73900E+03    0.1107344921661E+03   -0.4202310930894E+01    0.92563024E+02
 0.74200E+03    0.1107652688786E+03   -0.4202430793210E+01    0.92631814E+02
 0.74500E+03    0.1107960544926E+03   -0.4202550935411E+01    0.92819072E+02
 0.74800E+03    0.1108269728001E+03   -0.4202671345351E+01    0.93070692E+02
 0.75100E+03    0.1108579429508E+03   -0.4202792023433E+01    0.93043025E+02
 0.75400E+03    0.1108888601505E+03   -0.4202912962634E+01    0.93223578E+02
 0.75700E+03    0.1109199676889E+03   -0.4203034172562E+01    0.93434885E+02
 0.76000E+03    0.1109510429171E+03   -0.4203155647819E+01    0.93458057E+02
 0.76300E+03    0.1109821833021E+03   -0.4203277388278E+01    0.93640778E+02
 0.76600E+03    0.1110133976649E+03   -0.4203399386937E+01    0.93768842E+02
 0.76900E+03    0.1110446408884E+03   -0.4203521657382E+01    0.93904332E+02
 0.77200E+03    0.1110759631020E+03   -0.4203644185961E+01    0.94063831E+02
 0.77500E+03    0.1111073302722E+03   -0.4203766974477E+01    0.94113218E+02
 0.77800E+03    0.1111387031127E+03   -0.4203890029346E+01    0.94261140E+02
 0.78100E+03    0.1111701866376E+03   -0.4204013341914E+01    0.94444260E+02
 0.78400E+03    0.1112016994286E+03   -0.4204136912405E+01    0.94590278E+02
 0.78700E+03    0.1112332982358E+03   -0.4204260742702E+01    0.94688607E+02
 0.79000E+03    0.1112648945847E+03   -0.4204384826622E+01    0.94810775E+02
 0.79300E+03    0.1112965929012E+03   -0.4204509174854E+01    0.95042983E+02
 0.79600E+03    0.1113283623460E+03   -0.4204633775933E+01    0.95104484E+02
