#  
#   T (K)        V_T(T) (a.u.)^3        B_0(T) (kbar)     dB0/dp       free energy (Ry) 
 0.19600E+03   0.1043544076439E+03   0.8178417007673E+03   0.4859385321019E+01  -0.4188218989156E+01
 0.19900E+03   0.1043543909033E+03   0.8178519426255E+03   0.4859717892068E+01  -0.4188219445962E+01
 0.20200E+03   0.1043544045467E+03   0.8178654817472E+03   0.4859390321402E+01  -0.4188219911296E+01
 0.20500E+03   0.1043543766654E+03   0.8178704599017E+03   0.4860014646733E+01  -0.4188220382168E+01
 0.20800E+03   0.1043543496214E+03   0.8178611838676E+03   0.4860743259982E+01  -0.4188220853665E+01
 0.21100E+03   0.1043543298077E+03   0.8178732891942E+03   0.4861131442191E+01  -0.4188221340850E+01
 0.21400E+03   0.1043543398456E+03   0.8178926229195E+03   0.4860885960380E+01  -0.4188221834993E+01
 0.21700E+03   0.1043543146875E+03   0.8178875458317E+03   0.4861485291145E+01  -0.4188222328818E+01
 0.22000E+03   0.1043542983383E+03   0.8178972457964E+03   0.4861778340042E+01  -0.4188222834480E+01
 0.22300E+03   0.1043542832930E+03   0.8179104026240E+03   0.4862155003790E+01  -0.4188223348589E+01
 0.22600E+03   0.1043542869440E+03   0.8179128552464E+03   0.4862223255739E+01  -0.4188223862257E+01
 0.22900E+03   0.1043542610101E+03   0.8179158197070E+03   0.4862714793342E+01  -0.4188224386997E+01
 0.23200E+03   0.1043542612131E+03   0.8179252359192E+03   0.4862874763575E+01  -0.4188224920092E+01
 0.23500E+03   0.1043542395665E+03   0.8179333784816E+03   0.4863384229202E+01  -0.4188225459717E+01
 0.23800E+03   0.1043542144378E+03   0.8179448814792E+03   0.4863868910999E+01  -0.4188226004746E+01
 0.24100E+03   0.1043541843874E+03   0.8179480693038E+03   0.4864399883076E+01  -0.4188226560575E+01
 0.24400E+03   0.1043541977446E+03   0.8179639384227E+03   0.4864248108713E+01  -0.4188227121800E+01
 0.24700E+03   0.1043541784188E+03   0.8179623017339E+03   0.4864867241481E+01  -0.4188227685402E+01
 0.25000E+03   0.1043541556356E+03   0.8179804549898E+03   0.4865127527121E+01  -0.4188228261992E+01
 0.25300E+03   0.1043541511914E+03   0.8179813513095E+03   0.4865527205428E+01  -0.4188228838982E+01
 0.25600E+03   0.1043541255824E+03   0.8179892749402E+03   0.4866135438492E+01  -0.4188229425325E+01
 0.25900E+03   0.1043541151891E+03   0.8179964630526E+03   0.4866358551963E+01  -0.4188230018580E+01
 0.26200E+03   0.1043541153920E+03   0.8180053737351E+03   0.4866682383551E+01  -0.4188230618371E+01
 0.26500E+03   0.1043540938816E+03   0.8180110708588E+03   0.4867144430831E+01  -0.4188231228898E+01
 0.26800E+03   0.1043540652293E+03   0.8180190330926E+03   0.4867614240280E+01  -0.4188231840507E+01
 0.27100E+03   0.1043540434837E+03   0.8180309221541E+03   0.4868193783979E+01  -0.4188232465574E+01
 0.27400E+03   0.1043540202047E+03   0.8180337627310E+03   0.4868748907181E+01  -0.4188233089596E+01
 0.27700E+03   0.1043540376193E+03   0.8180488582912E+03   0.4868734044949E+01  -0.4188233731834E+01
 0.28000E+03   0.1043540091990E+03   0.8180465386830E+03   0.4869414110239E+01  -0.4188234365077E+01
 0.28300E+03   0.1043539880580E+03   0.8180595474845E+03   0.4869867023060E+01  -0.4188235018442E+01
 0.28600E+03   0.1043539939169E+03   0.8180682985878E+03   0.4870025570201E+01  -0.4188235676686E+01
 0.28900E+03   0.1043539697488E+03   0.8180806933931E+03   0.4870645959168E+01  -0.4188236336790E+01
 0.29200E+03   0.1043539754388E+03   0.8180888081773E+03   0.4870834338706E+01  -0.4188237005928E+01
 0.29500E+03   0.1043539670296E+03   0.8181046853534E+03   0.4871004078683E+01  -0.4188237683530E+01
 0.29800E+03   0.1043539439817E+03   0.8181040709101E+03   0.4871606374797E+01  -0.4188238363294E+01
 0.30100E+03   0.1043539261098E+03   0.8181150527586E+03   0.4872240868340E+01  -0.4188239056849E+01
 0.30400E+03   0.1043539185376E+03   0.8181294931434E+03   0.4872419881171E+01  -0.4188239755522E+01
 0.30700E+03   0.1043539378185E+03   0.8181472803847E+03   0.4872471394813E+01  -0.4188240461464E+01
 0.31000E+03   0.1043538895742E+03   0.8181448731676E+03   0.4873272545343E+01  -0.4188241165549E+01
 0.31300E+03   0.1043538887732E+03   0.8181561674603E+03   0.4873708589838E+01  -0.4188241888631E+01
 0.31600E+03   0.1043538832467E+03   0.8181630131127E+03   0.4874043690870E+01  -0.4188242607645E+01
 0.31900E+03   0.1043538699974E+03   0.8181709923074E+03   0.4874516581244E+01  -0.4188243337604E+01
 0.32200E+03   0.1043538444729E+03   0.8181892290832E+03   0.4875166963552E+01  -0.4188244080336E+01
 0.32500E+03   0.1043538592991E+03   0.8181997737252E+03   0.4875160724945E+01  -0.4188244824197E+01
 0.32800E+03   0.1043538535229E+03   0.8182028895790E+03   0.4875783626949E+01  -0.4188245573839E+01
 0.33100E+03   0.1043538261678E+03   0.8182096523622E+03   0.4876467304286E+01  -0.4188246330584E+01
 0.33400E+03   0.1043538355826E+03   0.8182267800179E+03   0.4876527158457E+01  -0.4188247096613E+01
 0.33700E+03   0.1043538472707E+03   0.8182350768774E+03   0.4876648092263E+01  -0.4188247869424E+01
 0.34000E+03   0.1043537952498E+03   0.8182370835911E+03   0.4877798745440E+01  -0.4188248643361E+01
 0.34300E+03   0.1043538194834E+03   0.8182611002118E+03   0.4877725656988E+01  -0.4188249436605E+01
 0.34600E+03   0.1043537931122E+03   0.8182567935887E+03   0.4878540477790E+01  -0.4188250221624E+01
 0.34900E+03   0.1043537892513E+03   0.8182723221671E+03   0.4878916491448E+01  -0.4188251021108E+01
 0.35200E+03   0.1043538009923E+03   0.8182874172947E+03   0.4878909997106E+01  -0.4188251829739E+01
 0.35500E+03   0.1043537616708E+03   0.8182931574836E+03   0.4880055173094E+01  -0.4188252642567E+01
 0.35800E+03   0.1043537739028E+03   0.8183016207466E+03   0.4880133575281E+01  -0.4188253459115E+01
 0.36100E+03   0.1043537595581E+03   0.8183080911227E+03   0.4880743627423E+01  -0.4188254283964E+01
 0.36400E+03   0.1043537698231E+03   0.8183298772433E+03   0.4880867970052E+01  -0.4188255124811E+01
 0.36700E+03   0.1043537690622E+03   0.8183453408135E+03   0.4881255210389E+01  -0.4188255964651E+01
 0.37000E+03   0.1043537558307E+03   0.8183437981451E+03   0.4881924644502E+01  -0.4188256805921E+01
 0.37300E+03   0.1043537639046E+03   0.8183624180737E+03   0.4882266303319E+01  -0.4188257662361E+01
 0.37600E+03   0.1043537392282E+03   0.8183684890867E+03   0.4883032750744E+01  -0.4188258520309E+01
 0.37900E+03   0.1043537395800E+03   0.8183763765124E+03   0.4883384742106E+01  -0.4188259386523E+01
 0.38200E+03   0.1043537580017E+03   0.8183935802477E+03   0.4883532016119E+01  -0.4188260263011E+01
 0.38500E+03   0.1043537647544E+03   0.8184041149768E+03   0.4883831348403E+01  -0.4188261145239E+01
 0.38800E+03   0.1043537516085E+03   0.8184191477210E+03   0.4884362686722E+01  -0.4188262031527E+01
 0.39100E+03   0.1043537586947E+03   0.8184225277123E+03   0.4884817382797E+01  -0.4188262923127E+01
 0.39400E+03   0.1043537591430E+03   0.8184419457112E+03   0.4885106520225E+01  -0.4188263827107E+01
 0.39700E+03   0.1043537433141E+03   0.8184506971695E+03   0.4885868605715E+01  -0.4188264734369E+01
 0.40000E+03   0.1043537456078E+03   0.8184505690463E+03   0.4886496032253E+01  -0.4188265643876E+01
 0.40300E+03   0.1043537696587E+03   0.8184691156821E+03   0.4886466252084E+01  -0.4188266566888E+01
 0.40600E+03   0.1043537426032E+03   0.8184795913680E+03   0.4887399097849E+01  -0.4188267495842E+01
 0.40900E+03   0.1043537387310E+03   0.8184969839247E+03   0.4887690721377E+01  -0.4188268434063E+01
 0.41200E+03   0.1043537413263E+03   0.8185001137870E+03   0.4888390276534E+01  -0.4188269372070E+01
 0.41500E+03   0.1043537673011E+03   0.8185208016999E+03   0.4888435312616E+01  -0.4188270322196E+01
 0.41800E+03   0.1043537479889E+03   0.8185299576462E+03   0.4889222763699E+01  -0.4188271274874E+01
 0.42100E+03   0.1043537517040E+03   0.8185370442704E+03   0.4889747044634E+01  -0.4188272237983E+01
 0.42400E+03   0.1043538012980E+03   0.8185515814567E+03   0.4889564791081E+01  -0.4188273204019E+01
 0.42700E+03   0.1043537914624E+03   0.8185652694670E+03   0.4890227696203E+01  -0.4188274179505E+01
 0.43000E+03   0.1043537991269E+03   0.8185778351648E+03   0.4890546019082E+01  -0.4188275160377E+01
 0.43300E+03   0.1043537955752E+03   0.8185748699470E+03   0.4891315286108E+01  -0.4188276143729E+01
 0.43600E+03   0.1043538050543E+03   0.8185966716782E+03   0.4891621112039E+01  -0.4188277145277E+01
 0.43900E+03   0.1043538095095E+03   0.8186077611124E+03   0.4892182603873E+01  -0.4188278146777E+01
 0.44200E+03   0.1043538317761E+03   0.8186168789575E+03   0.4892645537072E+01  -0.4188279154509E+01
 0.44500E+03   0.1043538272146E+03   0.8186336132563E+03   0.4893124491208E+01  -0.4188280168940E+01
 0.44800E+03   0.1043538432324E+03   0.8186556642788E+03   0.4893337676296E+01  -0.4188281196257E+01
 0.45100E+03   0.1043538495220E+03   0.8186520489153E+03   0.4894098903987E+01  -0.4188282219012E+01
 0.45400E+03   0.1043538510353E+03   0.8186678677635E+03   0.4894452302591E+01  -0.4188283254374E+01
 0.45700E+03   0.1043538568045E+03   0.8186816043022E+03   0.4895070792120E+01  -0.4188284298485E+01
 0.46000E+03   0.1043539051324E+03   0.8186904382963E+03   0.4895093501459E+01  -0.4188285346509E+01
 0.46300E+03   0.1043539131966E+03   0.8187042533181E+03   0.4895703988295E+01  -0.4188286401709E+01
 0.46600E+03   0.1043539263143E+03   0.8187119814056E+03   0.4896249858833E+01  -0.4188287461658E+01
 0.46900E+03   0.1043539269000E+03   0.8187265493098E+03   0.4896773476274E+01  -0.4188288528678E+01
 0.47200E+03   0.1043539424348E+03   0.8187383606060E+03   0.4897222593654E+01  -0.4188289606298E+01
 0.47500E+03   0.1043539437725E+03   0.8187539364674E+03   0.4897811579209E+01  -0.4188290689386E+01
 0.47800E+03   0.1043540028098E+03   0.8187713390994E+03   0.4897543197466E+01  -0.4188291781485E+01
 0.48100E+03   0.1043539816220E+03   0.8187755236288E+03   0.4898640335732E+01  -0.4188292876210E+01
 0.48400E+03   0.1043540210943E+03   0.8187957727944E+03   0.4898756139619E+01  -0.4188293979233E+01
 0.48700E+03   0.1043540585977E+03   0.8188063508272E+03   0.4899019705901E+01  -0.4188295085516E+01
